2025-03-23 04:46:04,384 [INFO] Logger initialized.
2025-03-23 04:46:04,384 [INFO] Skipping collision detection; reusing existing iou_{X}.json data only.
2025-03-23 04:46:04,384 [INFO] Reading name mapping from /home/projects/bagon/andreyg/Projects/Object_reps_neural/Programming/detr/DATA_ANALYSIS/data_org/name_mapping.json...
2025-03-23 04:46:04,385 [INFO] Loaded name mapping with 96 entries.
2025-03-23 04:46:04,385 [INFO] Reading participant CSV from /home/projects/bagon/andreyg/Projects/Object_reps_neural/Programming/detr/DATA_ANALYSIS/data_org/experiment2-CollisionDetection-Data.csv...
2025-03-23 04:46:04,401 [INFO] CSV loaded with 13974 rows and 10 columns.
2025-03-23 04:46:04,401 [INFO] Reading precomputed collision times from iou_{thr}.json files...
2025-03-23 04:46:04,562 [INFO] Collision time loading complete.
2025-03-23 04:46:43,483 [INFO] Done creating results for full_resolution_resnet101, IoU=0.05
2025-03-23 04:47:21,333 [INFO] Done creating results for full_resolution_resnet101, IoU=0.1
2025-03-23 04:48:00,085 [INFO] Done creating results for full_resolution_resnet101, IoU=0.15
2025-03-23 04:48:38,598 [INFO] Done creating results for full_resolution_resnet101, IoU=0.2
2025-03-23 04:49:18,400 [INFO] Done creating results for full_resolution_resnet101, IoU=0.25
2025-03-23 04:49:56,616 [INFO] Done creating results for full_resolution_resnet101, IoU=0.3
2025-03-23 04:50:36,145 [INFO] Done creating results for full_resolution_resnet101, IoU=0.35
2025-03-23 04:51:15,867 [INFO] Done creating results for full_resolution_resnet101, IoU=0.4
2025-03-23 04:51:54,538 [INFO] Done creating results for full_resolution_resnet101, IoU=0.45
2025-03-23 04:52:31,126 [INFO] Done creating results for full_resolution_resnet101, IoU=0.5
2025-03-23 04:53:09,410 [INFO] Done creating results for full_resolution_resnet101, IoU=0.55
2025-03-23 04:53:48,267 [INFO] Done creating results for full_resolution_resnet101, IoU=0.6
2025-03-23 04:54:25,903 [INFO] Done creating results for full_resolution_resnet101, IoU=0.65
2025-03-23 04:55:05,833 [INFO] Done creating results for full_resolution_resnet101, IoU=0.7
2025-03-23 04:55:44,804 [INFO] Done creating results for full_resolution_resnet101, IoU=0.75
2025-03-23 04:56:24,393 [INFO] Done creating results for full_resolution_resnet101, IoU=0.8
2025-03-23 04:57:03,744 [INFO] Done creating results for full_resolution_resnet101, IoU=0.85
2025-03-23 04:57:44,936 [INFO] Done creating results for full_resolution_resnet101, IoU=0.9
2025-03-23 04:58:25,370 [INFO] Done creating results for full_resolution_resnet101, IoU=0.95
2025-03-23 04:58:25,370 [INFO] All analyses complete. Exiting.
