========================================
Processing video: /home/projects/bagon/andreyg/Projects/Object_reps_neural/Programming/gpt/experiment_1/Exp1/Stimuli/Exp1_videos/flipped_F_convex_0.mp4
start_frame=200
crop_width=500, crop_height=400
========================================

Reading frames...
  - Total frames: 1199
[Frame=200] => first frame in sequence => no previous => cannot detect movement yet.
[Frame=201] left_diff=False, right_diff=True, moving_blob=None
   => Identified mover as 'right'.
[Frame=202] left_diff=False, right_diff=True, moving_blob=right
[Frame=203] left_diff=False, right_diff=True, moving_blob=right
[Frame=204] left_diff=False, right_diff=True, moving_blob=right
[Frame=205] left_diff=False, right_diff=True, moving_blob=right
[Frame=206] left_diff=False, right_diff=True, moving_blob=right
[Frame=207] left_diff=False, right_diff=True, moving_blob=right
[Frame=208] left_diff=False, right_diff=True, moving_blob=right
[Frame=209] left_diff=False, right_diff=True, moving_blob=right
[Frame=210] left_diff=False, right_diff=True, moving_blob=right
[Frame=211] left_diff=False, right_diff=True, moving_blob=right
[Frame=212] left_diff=False, right_diff=True, moving_blob=right
[Frame=213] left_diff=False, right_diff=True, moving_blob=right
[Frame=214] left_diff=False, right_diff=True, moving_blob=right
[Frame=215] left_diff=False, right_diff=True, moving_blob=right
[Frame=216] left_diff=False, right_diff=True, moving_blob=right
[Frame=217] left_diff=False, right_diff=True, moving_blob=right
[Frame=218] left_diff=False, right_diff=True, moving_blob=right
[Frame=219] left_diff=False, right_diff=True, moving_blob=right
[Frame=220] left_diff=False, right_diff=True, moving_blob=right
[Frame=221] left_diff=False, right_diff=True, moving_blob=right
[Frame=222] left_diff=False, right_diff=True, moving_blob=right
[Frame=223] left_diff=False, right_diff=True, moving_blob=right
[Frame=224] left_diff=False, right_diff=True, moving_blob=right
[Frame=225] left_diff=False, right_diff=True, moving_blob=right
[Frame=226] left_diff=False, right_diff=True, moving_blob=right
[Frame=227] left_diff=False, right_diff=True, moving_blob=right
[Frame=228] left_diff=False, right_diff=True, moving_blob=right
[Frame=229] left_diff=False, right_diff=True, moving_blob=right
[Frame=230] left_diff=False, right_diff=True, moving_blob=right
[Frame=231] left_diff=False, right_diff=True, moving_blob=right
[Frame=232] left_diff=False, right_diff=True, moving_blob=right
[Frame=233] left_diff=False, right_diff=True, moving_blob=right
[Frame=234] left_diff=False, right_diff=True, moving_blob=right
[Frame=235] left_diff=False, right_diff=True, moving_blob=right
[Frame=236] left_diff=False, right_diff=True, moving_blob=right
[Frame=237] left_diff=False, right_diff=True, moving_blob=right
[Frame=238] left_diff=False, right_diff=True, moving_blob=right
